AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
16-17,S1,English,ENG101,Literary Explorations I,1001,6,15,10,2,5,1,,,,,,39
,,,,,1002,1,2,13,3,1,,,,,,,20
,,,,,1003,7,14,12,5,2,3,,,1,,,44
,,,,,1004,5,18,7,,6,2,1,,,,,39
,,,,,1005,4,11,12,3,10,1,,,,,,41
,,,,,1006,3,12,9,2,9,1,,,,,,36
,,,ENG201,Literary Explorations III,1007,9,13,11,8,2,2,1,,,,,46
,,,,,1008,5,9,6,2,12,1,1,,,,,36
,,,,,1009,4,15,3,,18,,,1,,,,41
,,,,,1010,10,14,9,,10,,,1,,,,44
,,,,,1011,5,13,6,4,5,,,1,,,,34
,,,ENG315,Shakespeare,1012,8,35,,,6,,,,,,,49
,,,ENG341,Gender Studies,1013,2,7,7,4,4,,,,,,,24
,,,ENG351,Graphic Novels: Image and Text,1014,6,23,6,,12,1,,,,,,48
,,,ENG361,Tolkien: Language and Literature,1015,9,13,14,3,6,1,,,,,,46
,,,ENG502,The Idea of the Individual,1016,3,15,19,2,8,2,,,,,,49
,,FineArts,FAR100,Concert Band,1017,28,,,,,,,,,,,28
,,,FAR110,Wind Ensemble,1018,38,1,,,,,,1,,,,40
,,,FAR120,String Orchestra,1019,20,,,,,,,,,,,20
,,,FAR130,Chamber Strings,1020,23,2,,,,,,,,,,25
,,,FAR200,Concert Choir,1021,16,,1,,,,,,,,,17
,,,FAR210,Chamber Choir,1022,17,,,,,,,,,,,17
,,,FAR301,Music Theory,1023,11,3,1,,1,,,1,,,,17
,,,FAR402,Art and Design,1024,13,3,,,,,,,,,,16
,,,FAR435,Printmaking,1025,14,,1,,,,,,,,,15
,,HistorySS,HSS100,American Studies,1026,16,31,11,,10,1,,,,,,69
,,,,,1027,12,10,9,4,5,3,1,,2,,,46
,,,HSS201a,Ancient World Religion and Philosophy,1028,16,23,17,5,5,,,1,,,,67
,,,,,1029,14,14,6,,7,1,,1,1,,,44
,,,HSS201b,Conflict in World History,1030,11,15,7,4,,2,3,,,,,42
,,,HSS201e,History of Cultural Contact,1031,10,7,4,,3,,,,,,,24
,,,HSS201f,"Art, Worldview, and Society in History",1032,6,5,4,1,7,,,,,,,23
,,,HSS311,Political Theory,1033,15,18,3,,2,,,1,,,,39
,,,HSS336,"Rise of the Atlantic World, 1492-1815",1034,4,7,3,,2,,,1,,,,17
,,,HSS341,History of Astronomy,1035,7,13,3,3,13,,,1,,,,40
,,,HSS351,History of Philosophy,1036,7,15,6,2,16,,,2,,,,48
,,MathCS,CS100,Computer Science Inquiry,1037,19,12,6,4,3,,1,,,,,45
,,,,,1038,9,4,4,2,4,,,,,,,23
,,,,,1039,16,5,8,1,2,2,,1,,,,35
,,,CS125,Web Technologies I,1040,8,6,4,1,3,,,,,,,22
,,,CS205,Object Oriented Programming,1041,10,17,4,4,,,2,,,,,37
,,,,,1042,7,8,9,3,5,1,2,,2,,,37
,,,CS215,Robotics Programming,1043,6,5,2,,3,,,1,,,,17
,,,CS405,Computer Seminar,1044,3,8,2,,2,,1,,,,,16
,,,MAT101,Geometry I/II,1045,4,2,2,4,1,7,1,1,,,,22
